天体名称,距离模数,退行速度
H-ZSNSJ082138.13+032510.5,42.88,233694
H-ZSNSJ045514.27-055144.8,42.59,173785
H-ZSNSJ045830.23-031604.0,43.78,228652
H-ZSNSJ045936.57-030934.6,41.23,158800
H-ZSNSJ045937.31-030901.6,38.58,53873
H-ZSNSJ082157.14+035335.7,43.65,164744
H-ZSNSJ082350.03+032852.8,39.49,53819
H-ZSNSJ082402.51+040733.1,42.48,110781
H-ZSNSJ105555.93-035648.2,41.25,140756
H-ZSNSJ105651.48-035836.9,41.05,131763
H-ZSNSJ105719.23-035451.7,42.26,194719
H-ZSNSJ105356.22-033910.0,40.62,107779
H-ZSNSJ105615.02-041521.5,41.29,131762
H-ZSNSJ105716.38-033359.2,41.61,149751
H-ZSNSJ105721.51-031449.9,42.45,191723
H-ZSNSJ134336.92+021930.6,41.47,128870
H-ZSNSJ134620.89+020240.4,42.05,191827
H-ZSNSJ134744.72+022057.2,42.53,224806
MSACSSJ092016.00+003339.6,38.5,44816
EROSJ110115.76-114515.2,38.08,37009
EROSJ115700.46-112638.6,38.25,35834
SDSSJ230017.30-000515.4,38.72,54695
H-ZSNSJ023354.39+003255.6,41.61,137921
H-ZSNSJ023035.62+010943.3,42.92,278827
H-ZSNSJ041403.88+041755.0,41.34,140863
SDSSJ233153.01+000933.5,39.85,84063
SCPJ152306.31+293931.9,43.56,278908
SCPJ140200.95+050059.2,41.8,165464
SDSSJ140151.41+045312.5,42.26,201140
SCPJ135704.54+043059.8,41.66,153168
SDSSJ215647.63+001901.3,38.19,38605
NSFJ033923.74+350249.0,31.84,974
SDSSJ030711.02+010711.9,38.18,38895
SDSSJ223041.15-004634.4,37.26,27068
SDSSJ010821.96-000546.6,40.33,87010
SDSSJ025032.13+004826.4,39.31,57304
SDSSJ033048.96-011415.4,38.41,47939
SDSSJ215704.19-001324.4,37.93,32611
SDSSJ030421.26-010347.0,37.98,37311
SDSSJ014559.73+011144.5,39.05,48017
SDSSJ023628.25+003042.6,39.93,77544
SDSSJ214000.48-000002.9,38.46,30132
SDSSJ223132.21-002937.2,39.8,75089
SDSSJ231842.19-011216.7,40.34,90314
SDSSJ011619.85-004846.4,40.58,104990
SDSSJ215548.23+011052.7,39.65,66191
SDSSJ222315.50+001513.3,39.77,77563
SDSSJ222805.78-010731.1,39.41,72090
