天体名称,距离模数,退行速度
UGC03584,33.82,4397
UGC03595,35.32,7973
UGC03725,34.68,6212
UGC03789,33.48,3385
UGC03845,33.54,3061
UGC04032,35.44,8075
UGC04381,33.65,4462
UGC04414,35.4,7459
UGC04455,35.63,9116
UGC04468,34.51,7407
UGC04446,34.67,5930
UGC04922,32.77,2017
UGC05050,31.87,2313
UGC05574,31.69,1396
NGC3155,33.43,3070
UGC05691,36.99,16249
UGC05672,28.98,473
NGC3380,29.22,1558
NGC3547,31.39,1486
UGC06211,36.97,17384
UGC06271,32.5,1978
UGC06509,33.1,2848
UGC06534,31.09,1357
UGC06583,34.77,6173
UGC06575,32.69,1296
NGC3794,31.58,1461
UGC06780,33.05,1599
NGC3850,31.56,1233
NGC3873,34.42,5333
UGC06774,33.82,2502
NGC3978,35.98,10046
NGC3990,30.04,767
NGC4067,33.14,2343
UGC06992,30.95,808
NGC4059,35.27,7131
NGC4173,30.66,1121
UGC08162,35.11,7167
UGC08261,33.23,898
UGC08246,31.62,848
UGC08795,32.91,2373
NGC5338,30.52,784
UGC08799,30.28,1022
NGC5346,32.84,2581
NGC5364,30.97,1215
NGC5452,32.6,2226
UGC08899,33.45,2879
UGC08995,31.71,1228
NGC5582,32.25,1528
UGC09437,36.92,14451
UGC09391,33,2047
UGC09657,32.72,2673
UGC09665,32.74,2689
UGC10261,37.43,19156
NGC6168,32.45,2642
NGC6261,36.11,10698
NGC6323,35.15,7985
UGC10854,33.47,3014
UGC10858,34.74,5638
UGC10887,32.82,2027
UGC11021,34.61,5367
UGC11060,34.12,4843
UGC11064,35.05,7222
UGC11260,35.2,6385
UGC11328,34.82,5862
NGC6662,34.77,5515
NGC6801,33.23,4586
UGC11961,34.29,4384
PGC070107,32.62,5920
UGC12252,35.31,7318
UGC12281,32.65,2738
UGC12307,33.54,2976
UGC12451,32.78,3779
NGC7634,33.58,3248
UGC12561,33.47,3893
UGC12562,33.07,3993
UGC12650,33.99,5271
UGC12692,32.79,2350
IC2513,32.7,2650
PGC029086,30.86,495
ESO428-009,32.82,2029
PGC017395,32.33,2590
PGC085610,35.28,8188
PGC086285,33.2,2790
PGC085551,35.84,8929
ESO410-005,26.44,29
PGC002590,24.18,-151
UGC00501,34.25,5242
UGC01162,36.18,11258
UGC01650,34.41,4717
UGC01319,33.78,5448
UGC02194,33.76,5600
UGC02801,34.54,6106
PGC013146,31.46,1935
NGC1380B,31.52,1628
NGC1533,31.43,622
PGC016850,31.82,1843
ESO119-016,32.5,784
UGC03423,33.99,4417
ESO308-022,29.86,611
ESO491-015,32.8,2477
UGC03763,35.53,7143
NGC2525,30.93,1398
NGC2921,33.48,2759
PGC028759,27.92,207
NGC3056,30.88,758
ESO437-067,29,2978
NGC4037,30.7,864
NGC4152,32.65,2112
IC3074,32.75,1913
NGC4197,31.99,1997
PGC039159,29.83,2027
NGC4205,30.94,1549
NGC4255,32.29,1893
IC3148,31.91,2406
NGC4273,32.23,2297
NGC4260,32.8,1709
NGC4287,32.28,2060
NGC4309,32.13,969
PGC040115,31.86,1030
IC3258,30.54,-486
NGC4377,31.22,1311
NGC4391,31.88,1436
NGC4390,32.09,1036
UGC07512,30.37,1417
PGC040636,31.2,2429
NGC4445,31.28,285
UGC07557,30.98,861
UGC07580,31,538
PGC041156,31.12,391
IC3517,30.99,380
NGC4528,30.97,1315
IC3490,31.09,189
PGC041994,33.13,711
IC3576,31.11,1005
PGC042046,30.98,1360
IC3602,31.21,1216
NGC4608,31.53,1787
PGC042884,31.07,848
NGC4758,30.65,1212
UGC08114,32.14,1965
IC3957,35.38,6374
NGC4842:,35.42,7246
IC4213,31.52,860
NGC5016,33.33,2617
NGC5193,33.23,3567
NGC5348,31.01,1425
UGC09401,35.21,5679
UGC09279,33.99,4162
IC4536,31.7,2239
UGC10014,32.95,1193
NGC6750,33.02,3904
UGC11816,34.26,4900
PGC069284,35.13,7285
NGC7259,31.52,1761
PGC083454,35.95,11328
PGC091621,34.46,6708
PGC091661,35.04,5805
PGC093031,33.39,3622
PGC166163,28.59,428
PGC166193,28.64,357
PGC343503,35.89,10346
PGC643983,36.22,15987
PGC906205,34.2,4593
PGC1210567,33.55,6058
PGC2798871,33.02,-
PGC2802594,24.42,-
PGC3097113,28.79,374
PGC3111932,38.78,46670
SDSSJ085112.11+275248.1,29.64,345
[CKT2009]D0959+68,28.13,-80
SDSSJ215546.40+003536.7,40.09,79038
SDSSJ215440.79+002448.4,39.48,66181
SDSSJ223031.48-003009.6,39.79,84492
SDSSJ230102.97-001226.5,40.32,91617
SDSSJ232021.45-002059.2,40.59,105029
SDSSJ122852.81-000540.1,42.51,185778
[GC96]J082443.49-002106.2,41.36,113765
SDSSJ010208.65-005246.8,39.22,57450
PICTORIS1,20.4,-
ANTLIAB,25.56,164
IC0755,31.27,1469
NGC4045,32.56,1867
[SBS2017]D1005+68,28,-
ESO383-032,35.09,7067
IC1151,33.44,2265
PGC000465,36.19,11677
PGC002964,33.2,5127
ESO466-036,33.76,2418
IC5270,31.96,1932
NGC0522,32.95,2822
IC5269,32.02,2034
ESO320-004,31.54,2645
ESO440-004,32.65,1660
NGC5054,30.86,1630
PGC046261,33.1,2529
IC0101,32.72,2486
NGC4701,31.16,650
NGC1051,31.65,1286
NGC1331,31.8,1127
NGC1827,30.2,865
NGC3936,31.4,1840
ESO504-024,31.84,1717
ESO440-011,28.44,1757
NGC4630,30.99,662
NGC4600,29.83,758
ESO404-018,32.42,2304
NGC7418,31.1,1451
IC5269B,31.59,1671
NGC7418A,32.71,2109
UGC06891,34.62,6708
UGC07016,35.28,7221
UGC07133,34.03,2533
UGC07890,35.01,7518
PANDAS48,24.57,-96
UGC07639,29.42,446
NGC3769,31.06,768
UGC06773,30.78,982
UGC06399,31.54,848
NGC3726,30.64,907
NGC3877,30.84,952
NGC3893,31.3,1016
NGC3949,31.34,853
UGC06894,31.34,928
NGC3972,31.51,933
UGC06917,31.48,975
NGC3985,31.05,1039
NGC4013,31.37,877
NGC4010,31.26,958
IC0750,32.75,740
UGC06983,31.64,1152
NGC4085,31.41,849
UGC07089,30.34,814
UGC07094,30.15,812
NGC4102,31.31,920
NGC4157,31.11,845
NGC4183,31.11,966
NGC4217,31.34,1063
UGC12054,32.83,2232
NGC2713,34.38,3752
NGC3592,31.56,1228
UGC05129,33.81,3990
ESO471-006,28.2,275
IC1574,28.46,375
NGC0059,28.45,396
NGC3443,32.12,1032
NGC0247,27.85,172
FORNAX_UFD1,31.37,-
PGC138451,29.47,478
UGC11411,29.09,296
LEOT,23.09,-58
NGC7407,34.95,6634
UGC12807,36.48,12533
PGC091787,34.53,5416
UGC05347,33.02,2001
UGC12707,32.7,2770
UGC04565,34.73,3931
UGC00536,34.48,5012
NGC0489,33.28,2606
PGC166063,29.69,486
PGC090795,35.65,6808
PGC090800,36.77,13625
PGC086633,34.99,3695
NGC3951,34.53,6422
NGC4544,31.05,1076
PGC083663,35.84,6635
NGC5117,32.64,2418
NGC5240,33.15,2287
NGC7290,33.08,3087
PGC085512,35.79,8220
UGC00040,35.02,7688
UGC00132,31.56,1815
UGC04060,34.19,4570
UGC04559,33.22,2027
UGC05020,32.53,1591
PGC036779,35.36,6108
PGC043164,33.02,6624
UGC08161,34.88,6663
PGC051854,37.21,12185
PGC070927,33.48,3732
UGC02364,34.61,5451
UGC01500,32.4,2524
NGC7562A,33.02,3652
PGC090815,34.12,2426
IC2219,34.12,5166
IC0842,34.99,7291
NGC5032,35.63,6418
NGC5806,31.58,1358
PGC2802582,24.35,-194
PGC3084796,23.98,-67
UGC00549,34.29,6223
UGC02982,33.35,5276
UGC03070,32.29,2449
UGC03420,34.44,5244
PGC019975,32.83,3371
UGC04054,32.16,2054
UGC04777,32.53,2006
NGC6462,36.17,11715
UGC06879,32.53,2272
NGC6695,35.28,5703
PGC3097693,31.39,1787
NGC3912,31.49,1765
NGC7347,32.43,2407
ESO215-009,28.69,379
PGC2815820,27.33,-
PGC2815822,27.93,-
PGC2815823,27.95,-
NGC5938,32.12,3361
PGC2793261,33.6,4637
PGC2793266,34.37,5429
PGC2793272,34.13,4225
PGC2793273,34.02,5405
PGC2793294,34.6,5720
PGC2793297,33.45,4560
PGC2793300,34.61,4468
PGC2793302,33.28,5717
PGC2793304,34.35,5175
PGC2793305,35.19,4930
PGC2793306,33.61,3942
PGC2793309,34.97,5229
PGC2793310,34.03,6133
PGC2793313,34,4724
PGC2793323,34.63,4704
PGC2793324,34.74,6134
PGC2793326,34.21,5307
PGC2793329,34.17,3370
PGC2793332,33.93,5429
PGC2793338,33.96,4804
PGC2793347,34.61,3943
PGC2793348,33.91,6133
PGC2793352,33.4,4475
PGC3077814,34.04,5270
PGC3078024,34.51,3908
PGC3080012,34.17,4940
ESO409-015,29.7,749
ESO540-031,27.62,309
PGC016389,29.21,488
PGC018431,29.92,582
ESO490-017,29.01,309
UGC03600,30.06,408
UGC03755,29.43,207
ESO059-001,28.33,316
PGC043072,29.92,1085
IC4870,29.65,780
ESO461-036,29.22,470
PGC166065,28.52,280
PGC166159,29.59,-
PGC592761,28.49,341
PGC677373,28.24,453
PGC683190,28.74,509
PGC2806961,29.91,228
[CKT2009]D1028+70,27.92,44
ESO553-046,29.13,392
ANDROMEDA28,24.45,-120
ANDROMEDA29,24.59,-13
PGC002666,24.32,-204
PGC002121,24.34,-171
[RC2]A0113+33,24.02,-43
ANDROMEDA15,24.47,-164
ESO361-019,30.24,2155
PGC003184,34.7,6948
UGC02915,34.48,5360
UGC05349,32.17,1362
IC3101,31.23,1368
PGC066242,32.62,2374
NGC1744,29.95,594
ESO488-060,32.03,1623
ESO359-003,30.7,1449
UGC06679,34.36,5193
PGC023146,34.07,4193
NGC3245A,32.12,1281
ESO501-080,30.48,844
NGC5169,33.41,2500
ESO526-011,34.65,5916
IC2130,31.05,1670
ESO482-011,30.8,1493
UGC09991,33.07,2010
NGC1179,31.26,1717
UGC06104,33.52,2867
PGC083758,33.88,7104
NGC4233,32.59,2200
NGC6575,35.03,7072
NGC0452,34.12,5109
NGC0803,31.66,2180
NGC0918,31.07,1582
UGC01839,32.18,1562
NGC3109,25.56,193
PGC166084,27.71,205
PGC044532,29.99,874
NGC0185,24.11,-17
NGC0147,24.25,-4
NGC1300,30.81,1505
UGC02134,33.08,4676
NGC6586,32.84,3312
CRATER,21.1,0
NGC6643,31.53,1683
NGC0029,34.45,4949
UGC00903,32.83,2628
UGC09758,35.11,6586
UGC01104,29.39,791
NGC0672,29.29,545
NGC0769,33.52,4538
NGC0799,34.5,5862
UGC03561,34.66,5714
NGC2336,32.51,2347
UGC04078,32.15,2018
NGC6264,35.79,10314
NGC6384,31.93,1783
NGC6495,33.26,3293
UGC11055,32.93,3091
NGC6689,30.62,694
UGC11289,33.56,4178
NGC6675,32.91,2702
UGC11320,34.37,3998
UGC11891,29.64,688
UGC11921,31.51,1864
NGC7231,30.8,1312
NGC7250,30.68,1389
NGC7282,33.38,4764
PGC070600,35.55,9784
UGC12350,32.05,2316
NGC7817,32.23,2470
UGC00542,33.67,4663
NGC0523,34.32,4906
NGC0691,32.84,2769
IC0167,31.46,3038
PGC010217,27.7,173
NGC1140,31.29,1472
IC2006,31.49,1236
NGC1637,30.41,638
IC0381,32.07,2626
NGC2268,32.48,2382
PGC023347,33.74,4766
UGC04332,35.65,5440
UGC05364,24.47,-17
NGC3136B,31.62,1567
NGC3264,30.57,996
NGC3347A,32.97,2564
NGC3347B,32.94,2971
NGC3389,31.43,1204
NGC3486,30.68,647
NGC3510,31.12,676
NGC3614,32.7,2364
NGC3666,31.14,972
NGC3686,31.01,1090
NGC3659,31.67,1222
NGC3733,31.73,1254
NGC3756,31.56,1358
NGC3928,30.89,1030
NGC4017,33.5,3433
NGC4116,31.17,1213
NGC4193,32.78,2407
IC3365,31.33,2315
NGC4485,29.75,529
IC3476,30.32,-218
NGC4525,30.23,1184
NGC4534,30.89,844
IC3591,31.28,1567
NGC4656,28.6,665
NGC4672,33.73,3113
NGC4684,30.63,1503
NGC4696,32.79,2799
NGC4729,32.39,3164
NGC4921,34.9,5485
PGC044416,33.81,7627
UGC08146,31.52,772
NGC5011,33.11,2943
NGC5102,27.92,315
NGC5195,29.4,560
NGC5290,32.59,2639
NGC5523,31.67,1092
NGC5690,31.45,1752
NGC5595,32.29,2634
NGC5783,33,2499
NGC5673,32.89,2205
IC1029,33.56,2502
NGC5951,32.09,1848
ESO137-006,34.56,5328
UGC11132,33.53,3036
NGC6255,31.49,1082
IC4943,32.48,2885
UGC11635,34.27,4996
UGC11723,34.26,5045
IC5152,26.46,83
NGC7200,32.69,2871
UGC11973,33.56,4438
NGC7264,34.7,4495
NGC7497,31.1,1885
PGC072139,34.87,6755
NGC7721,32.51,2112
NGC2188,29.62,549
UGC08333,31.66,953
NGC5557,32.58,3295
UGC07218,30.88,831
UGC06816,32.16,969
NGC7292,29.17,1197
NGC5283,33.23,3274
NGC2894,33.87,2016
ESO594-004,25.17,7
ESO245-007,23.2,-142
NGC2271,32.49,2408
NGC2380,32.03,1575
NGC1537,31.81,1272
NGC3136,31.93,1490
NGC3250,33.13,2577
NGC3258,32.51,2584
NGC3268,32.69,2583
NGC3923,31.51,1369
NGC4033,31.6,1462
NGC5237,27.61,206
NGC5061,32.31,1900
NGC6861,32.22,2797
IC2311,31.82,1631
NGC7029,32.9,2757
IC4797,32.22,2654
NGC7196,33.25,2850
ESO245-005,28.3,309
ESO349-031,27.53,214
UGC07354,30.94,1441
ESO381-020,28.69,423
ESO444-084,28.35,460
PGC045084,28.92,622
ESO325-011,27.66,396
ESO323-025,33.48,4052
ESO268-044,32.88,3303
ESO322-042,32.71,3748
NGC4603A,32.47,3512
ESO437-004,33.44,3094
ESO437-034,33.59,3561
NGC3095,32.46,2512
NGC3285,34.15,3183
NGC3729,31.62,1084
NGC4218,30.97,762
UGC06923,31.1,1157
UGC06940,31.98,1184
UGC06969,31.95,1185
NGC0658,33.26,3064
NGC0493,31.8,2501
NGC1507,30.1,813
NGC2633,31.98,2291
NGC2701,32.62,2375
NGC2770,32.13,1911
NGC3320,32.64,2357
NGC2424,33.45,3340
NGC4793,32.14,2508
NGC3976,32.64,2408
NGC3689,33.28,2702
NGC5894,33.06,2619
NGC3471,31.92,2202
NGC4284,34.2,4294
NGC5012,32.91,2612
UGC12178,31.93,2086
UGC12857,32.18,2578
NGC6239,31.93,1098
NGC5899,33.15,2714
NGC5707,33.26,2315
NGC2681,31.16,714
NGC5566,31.52,1521
NGC2950,30.85,1397
NGC5427,32.26,2636
NGC1134,32.89,3687
PGC014241,27.37,213
NGC3583,32.42,2154
UGC08630,32.31,2463
NGC4159,31.26,1896
ESO104-022,29.76,698
ESO104-044,29.94,679
ESO145-025,31.1,1776
PGC039228,28.33,229
UGC07298,28.12,247
PGC166185,26.48,134
NGC6221,30.22,1376
UGC00477,32.93,2784
NGC4220,31.37,978
NGC4274,31.44,917
NGC4235,31.36,2346
NGC5448,32.63,2121
NGC3026,31,1430
UGC07699,31.32,529
UGC05470,22.11,174
UGC10822,19.53,-101
NGC6907,33.18,3246
NGC0024,29.32,574
IC3509,31.1,2012
NGC3077,27.93,98
PGC023521,27.68,226
NGC0292,18.97,21
NGC6104,35.74,8513
NGC5408,28.63,366
IC4662,27.03,196
NGC1560,27.38,106
SEGUE1,16.8,114
NGC3599,31.52,769
NGC4540,30.51,1244
NGC4437,29.62,1037
UGC05288,30.3,435
NGC3206,31.41,1224
NGC4904,31.09,1113
NGC5669,30.83,1388
IC0809,31,147
IC3586,31.07,1667
IC0065,32.34,2796
NGC3254,32.8,1327
NGC3259,32.55,1775
NGC4100,31.5,1178
UGC04879,25.68,14
NGC7743,31.36,1828
NGC4038,31.95,1477
NGC4039,30.62,1471
NGC3032,31.5,1493
NGC4150,30.92,237
NGC4753,31.5,1159
UGC12914,33.49,4518
IC3470,31.01,1434
IC3652,31.01,578
ESO364-029,29.78,596
NGC2369,32.61,3020
PGC095594,28.46,242
PGC2801050,29.04,185
UGC03476,29.23,436
UGC05427,29.26,433
NGC0784,28.65,304
UGC08638,28.16,301
PGC015439,27.53,18
NGC0214,33.8,4688
NGC2906,33.15,2156
NGC2916,32.96,3637
NGC5205,32.63,1887
NGC5520,32.91,1991
NGC5656,33.88,3232
NGC5633,32.81,2437
NGC5772,35.12,4983
NGC5720,35.41,7909
NGC5980,33.5,4164
NGC6063,33.09,2916
NGC7311,33.76,4696
ESO138-014,31.66,1395
IC1153,31.26,6050
PGC065367,24.94,-26
PGC086668,29.73,397
UGC08508,27.07,168
PISCESB,29.75,712
PISCESA,28.76,366
IC0719,31.87,1741
NGC4460,29.89,543
NGC6010,32.33,2079
UGC01378,33.36,3111
NGC0448,32.39,1988
NGC4389,30.73,770
NGC2748,31.22,1608
NGC3403,32.11,1389
NGC5740,32.33,1565
NGC7241,33.8,1642
NGC4470,31.18,2268
NGC4030,32.17,1351
NGC3423,30.35,886
NGC4487,30.25,921
NGC7814,30.8,1203
NGC0045,29.11,491
IC0010,24.5,-147
NGC0150,31.62,1577
NGC0157,32.24,1719
PGC002501,36.74,16653
ESO540-016,32.13,1582
IC1613,24.39,-153
UGC00685,28.41,273
NGC0360,32.42,2179
NGC0406,31.61,1369
NGC0450,31.21,1836
NGC0596,31.67,1936
NGC0613,32.11,1446
NGC0578,31.23,1614
NGC0636,32.35,1883
NGC0681,33.24,1761
NGC0720,32.19,1717
UGC01493,33.44,4274
NGC0759,34.16,4779
IC1783,32.85,3280
NGC0818,33.83,4377
ESO544-027,33.13,2438
NGC0935,32.98,4248
NGC0907,32.06,1615
NGC0908,31.26,1466
NGC1035,31.17,1249
NGC1052,31.22,1469
NGC1055,31.43,1004
NGC1097,30.84,1188
NGC1087,30.46,1527
NGC1090,32.24,2883
NGC1145,32.11,2004
PGC100170,27.24,257
ESO356-018,31.2,1336
NGC1199,32.58,2630
NGC1163,32.89,2228
IC1913,31.7,1343
NGC1255,30.99,1603
NGC1232,30.91,1540
NGC1313,28.17,302
IC1914,31.89,887
NGC1275,34.46,5365
NGC1351,31.39,1362
ESO418-009,31.31,859
NGC1336,31.29,1301
NGC1339,31.48,1281
NGC1353,32.13,1446
NGC1395,31.89,1607
NGC1386,31.07,773
NGC1379,31.39,1202
NGC1365,31.19,1516
IC1962,31.8,1719
NGC1404,31.51,1822
NGC1419,31.77,2004
NGC1398,31.97,1297
ESO482-035,32.06,1786
NGC1439,32.11,1573
NGC1426,31.84,1350
NGC1427,31.41,1263
ESO482-046,31.78,1416
NGC1484,30.81,906
ESO054-021,30.92,1256
NGC1543,31.49,997
NGC1549,31.45,1071
NGC1519,31.3,1732
NGC1518,29.46,826
NGC1574,31.47,867
NGC1553,31.3,976
NGC1566,28.94,1329
NGC1559,31.02,1117
ESO551-016,31.12,1679
ESO202-035,32.13,1699
NGC1792,30.1,1038
NGC1752,33.27,3472
PGC017475,35.04,6910
IC0416,33.5,3048
NGC2325,32.02,1954
ESO490-036,32.57,1741
NGC2320,34.48,5948
ESO490-028,31.94,1950
ESO162-017,30.37,875
IC0467,31.89,2178
ESO257-019,32.77,2647
NGC2434,31.65,1237
NGC2397,31.48,1143
ESO123-009,32.78,2994
ESO123-016,32.58,3030
UGC03804,33.12,2992
UGC04133,35.38,8968
ESO035-018,32.11,1562
ESO123-023,33.05,2689
PGC023338,34.46,4950
ESO495-021,29.58,644
UGC04375,33.02,1978
PGC024778,32.91,2724
ESO563-021,34.71,4376
ESO563-017,33.96,3251
ESO563-014,32.04,1505
ESO563-028,33.01,2417
NGC2715,31.89,1465
PGC027158,32.83,2482
NGC2763,31.95,1694
ESO564-023,35.22,7531
NGC2784,29.94,482
ESO497-018,34.91,4904
IC0529,32.33,2380
ESO564-031,33.95,4951
NGC2835,29.53,677
NGC2844,33.32,1472
ESO061-008,33.22,3155
ESO498-003,32.53,2154
NGC2865,32.87,2512
NGC2919,32.9,2406
ESO373-012,32.5,2421
PGC027747,32.65,1682
NGC2935,32.82,2068
ESO434-023,33.25,2313
NGC2974,31.64,1728
ESO499-005,33.48,4088
NGC2997,29.25,868
NGC3055,31.97,1680
IC2523,31.17,2393
ESO499-022,32.92,2001
IC2522,32.38,2796
NGC3078,32.71,2352
NGC3087,32.7,2416
NGC3098,31.24,1241
ESO435-019,32.02,2595
NGC3089,32.3,2493
ESO567-006,34.45,3524
IC2536,32.3,2511
IC2537,32.73,2576
IC2539,32.47,2620
NGC3169,31.52,1096
NGC3120,31.67,2571
PGC029653,25.59,163
NGC3175,30.8,879
NGC3157,32.43,2623
NGC3193,32.64,1299
ESO375-026,32.96,2913
NGC3309,33.66,3886
ESO501-011,33.84,3566
ESO436-034,34.39,3416
ESO317-041,34.78,5649
ESO436-039,34.11,3278
ESO501-001,33.63,3603
NGC3318,32.64,2554
NGC3321,32.86,2316
NGC3361,32.14,1750
ESO437-056,33.02,2722
NGC3414,31.99,1420
ESO437-072,33.8,3131
NGC3526,31.43,1310
NGC3511,30.44,916
ESO377-010,32.97,2670
NGC3533,33.06,2913
NGC3568,32.55,2232
ESO438-015,33.01,3174
NGC3556,29.96,767
NGC3549,33.04,2910
NGC3623,30.55,717
NGC3628,30.17,763
NGC3610,32.56,1781
NGC3613,32.3,2100
NGC3646,33.78,4191
NGC3641,32.11,1645
NGC3675,31.26,797
ESO503-022,31.85,1698
NGC3811,33.13,3201
ESO439-018,35.59,8669
ESO266-015,33.14,2975
ESO439-020,34.24,3913
UGC06782,30.69,490
NGC3904,32.24,1373
ESO572-022,32.42,1753
NGC3962,32.74,1705
NGC3941,30.41,929
ESO572-049,32.38,1503
NGC4088,30.84,815
UGC07223,33.66,2020
UGC07170,32.32,2403
NGC4168,32.67,2213
NGC4244,28.19,272
NGC4262,30.92,1317
NGC4261,32.51,2142
NGC4267,30.97,925
PGC040107,32.12,1338
ESO380-019,33,2756
ESO573-014,35.12,6701
NGC4278,31.34,621
NGC4348,32.5,1900
NGC4324,31.19,1583
IC3253,32.19,2528
NGC4291,32.54,1843
NGC4371,31.12,855
NGC4387,31.25,484
IC3356,30.41,1043
NGC4406,31.2,-344
NGC4467,31.04,1323
NGC4458,31.06,625
NGC4472,31.1,911
NGC4486B,31.03,1447
NGC4490,29.82,632
NGC4478,31.13,1336
NGC4515,31.08,916
NGC4546,30.72,954
NGC4551,31.03,1150
NGC4575,32.32,2799
PGC042275,27.8,318
NGC4589,32.07,2144
NGC4603D,32.64,2535
NGC4679,33.86,4479
NGC4649,31.16,1059
NGC4699,31.87,1289
NGC4731,30.58,1393
NGC4742,30.93,1162
NGC4379,30.98,1005
ESO323-027,33.26,3679
NGC0115,32.29,1812
ESO323-042,32.62,4028
NGC4800,32.3,934
NGC4814,33.15,2598
NGC4835,31.52,2007
UGC08091,26.61,186
IC4051,35.6,4998
NGC4945,27.7,386
NGC4947A,32.58,2425
ESO443-041,34.31,4722
PGC045877,32.33,2642
NGC5018,32.91,2722
NGC5005,31.66,997
NGC5022,32.77,2870
ESO576-011,32.56,2636
IC4231,32.23,2131
IC4237,32.14,2541
PGC091705,34.72,5577
ESO509-074,32.71,2475
ESO040-012,32.91,2479
ESO445-015,34.36,4248
NGC5248,30.39,1127
IC4296,33.58,3642
ESO444-086,33.97,3908
NGC5308,32.27,2142
ESO383-067,33.24,3963
NGC5322,32.45,1928
ESO383-088,33.63,4106
ESO001-006,32.41,2054
ESO271-022,33.07,2876
ESO446-023,35.37,6823
NGC5485,32.05,2027
NGC5576,32.01,1414
NGC5638,32.08,1650
ESO447-019,33.2,3769
ESO041-006,31.21,2397
ESO447-023,33.55,3681
NGC5592,33.49,4240
ESO446-051,35.12,7117
UGC09242,31.93,1561
NGC5705,31.6,1747
ESO022-003,32.74,2571
IC4468,32.17,2378
PGC052809,31.13,2140
ESO580-049,33.6,3919
NGC5831,32.15,1640
NGC5812,32.13,1899
NGC5833,32.52,2875
NGC5879,31.04,913
NGC5963,32.65,819
NGC5903,32.63,2506
ESO582-004,32.81,2177
ESO387-026,33.75,4285
ESO582-012,31.91,2271
ESO329-007,34,4523
UGC10205,35.87,6691
NGC5962,32.54,2040
NGC5967,32.62,2762
NGC5982,32.88,2993
ESO516-008,35,7096
IC4555,32.06,2503
NGC6181,32.63,2489
NGC6411,33.86,3947
NGC6300,30.15,997
ESO009-010,32.16,2259
NGC6574,32.95,2444
NGC6684,30.7,773
NGC0134,31.25,1565
NGC6744,29.8,758
IC4889,32.31,2501
ESO397-018,34.09,5432
NGC6822,23.32,44
NGC6851,32.77,3022
NGC6868,32.14,2922
ESO527-019,32.98,3189
NGC6909,32.73,2758
IC5007,32.56,2766
IC5078,31.51,1573
NGC7097,32.53,2598
NGC7144,31.93,1896
NGC7145,31.83,1863
NGC7171,33.2,2823
NGC7192,32.87,2869
NGC7247,32.32,2535
ESO533-004,32.86,2648
NGC7218,32,1752
ESO602-015,33.21,2752
UGC12123,33.72,4281
NGC7339,31.7,1533
NGC7361,30.89,1285
ESO346-001,32.83,2400
NGC7392,33.1,3226
IC1474,33.18,3637
NGC7537,32.82,2818
NGC7593,33.65,4265
NGC7590,31.95,1563
NGC7541,32.9,2820
NGC7608,33.17,3680
NGC7626,33.23,3551
IC5321,32.93,2937
NGC7713,29.88,682
ESO079-003,32.6,2508
NGC4138,30.68,920
NGC3786,33.2,2692
NGC3044,31.66,1143
NGC7469,34.25,5068
UGC11711,36.09,9172
UGC11142,34.15,4690
UGC11994,34.04,5093
UGC12430,33.12,3872
UGC00014,35.03,7426
NGC7591,33.72,5101
IC5309,33.33,4335
NGC2742,31.6,1359
NGC0801,33.77,5896
NGC4631,29.33,636
NGC6674,33.7,3619
NGC4096,30.39,620
NGC4318,31.7,1141
NGC4339,31.06,1216
NGC4340,30.83,907
NGC2986,32.66,2123
NGC2695,32.53,1670
NGC4468,30.98,841
NGC4479,31.18,798
NGC4442,30.9,469
NGC4434,31.73,1002
NGC4464,30.98,1198
NGC4552,30.98,273
NGC4365,31.81,1148
NGC6702,34.18,4941
UGC03539,33.42,3409
UGC01970,32.53,2003
UGC04550,32.9,1955
UGC00711,31.94,2055
UGC02370,33.11,2282
UGC03489,34.56,5398
UGC03474,33.32,3752
UGC03879,33.85,4771
NGC0100,31.31,979
NGC2357,32.43,2213
UGC05459,31.61,1160
UGC06594,31.65,975
UGC07387,32.91,1648
IC3474,31.38,1649
UGC06080,32.73,2262
UGC09856,32.92,2608
NGC7173,32.46,2533
NGC2592,32.03,1980
IC4214,32.66,2166
NGC2778,31.78,2002
NGC3605,31.56,608
NGC3156,31.73,1209
UGC07249,32.19,545
IC3044,31.24,-241
NGC4206,31.38,643
NGC4165,33.77,1812
IC0769,32.91,2146
NGC4307,31.84,990
NGC4312,30,103
IC0797,31.83,2053
NGC4523,29.03,217
NGC4438,30.26,46
IC3322A,31.84,923
NGC4413,30.89,41
UGC07590,32.26,1055
IC3322,31.49,1115
NGC4477,31.08,1309
NGC4459,31,1137
NGC4586,30.58,708
NGC4866,32.36,1954
PGC042160,31.03,995
NGC4633,31.06,256
NGC4526,30.93,512
NGC4343,31.71,923
NGC4451,32.08,796
NGC4480,32.82,2353
NGC4303,30.45,1484
NGC4502,32.2,1589
NGC4595,30.98,592
NGC4647,31.19,1362
NGC4550,30.92,359
NGC0532,32.7,2458
NGC1171,32.01,2856
NGC1186,32.82,2853
NGC3041,31.93,1308
NGC3021,32.6,1508
NGC3067,31.15,1424
NGC1343,28.14,2370
NGC1485,31.39,1234
NGC2726,33.77,1617
NGC3338,31.84,1203
NGC3437,32.41,1203
NGC3294,32.39,1561
NGC2623,34.95,5434
NGC7678,33.26,3677
NGC7606,32.75,2317
NGC4845,31.34,1029
ESO097-013,28.12,267
NGC1003,30.2,746
NGC4448,31.89,685
NGC3495,31.31,1009
NGC3672,31.85,1714
